judge,pH,R,G,B
error,4.0,117,119,80
error,4.0,108,116,77
error,4.0,110,110,74
error,4.0,110,119,90
error,4.0,114,118,85
error,4.0,107,109,70
error,4.0,117,118,76
error,4.0,114,120,84
error,4.0,113,119,75
error,4.0,108,114,76
error,4.0,110,115,75
error,4.0,111,116,76
error,4.0,111,117,83
error,4.0,110,117,84
error,4.0,112,116,79
error,4.0,108,118,83
error,4.0,108,115,82
error,4.0,112,116,83
error,4.1,104,109,69
error,4.1,107,118,88
error,4.1,98,102,65
error,4.1,110,114,81
error,4.1,108,115,82
error,4.1,102,107,67
error,4.1,105,109,72
error,4.1,106,112,78
error,4.1,106,110,73
error,4.1,105,116,84
error,4.1,113,119,83
error,4.1,112,118,82
error,4.1,108,104,57
error,4.1,106,105,61
error,4.1,110,115,74
error,4.1,112,113,71
error,4.1,112,119,78
error,4.1,110,116,80
error,4.1,113,118,78
error,4.1,116,123,82
error,4.2,100,108,85
error,4.2,106,113,80
error,4.2,102,111,84
error,4.2,99,107,86
error,4.2,101,110,79
error,4.2,104,113,84
error,4.2,104,111,77
error,4.2,102,103,69
error,4.2,102,115,85
error,4.2,103,114,84
error,4.2,107,113,85
error,4.2,106,113,82
error,4.2,107,116,89
error,4.2,102,109,78
error,4.2,98,104,76
error,4.2,105,116,86
error,4.2,102,107,75
error,4.2,102,113,83
error,4.3,97,106,75
error,4.3,100,107,73
error,4.3,95,105,70
error,4.3,103,106,75
error,4.3,101,108,75
error,4.3,102,111,80
error,4.3,108,118,91
error,4.3,104,114,89
error,4.3,98,98,70
error,4.3,100,107,76
error,4.3,103,113,79
error,4.3,111,120,91
error,4.3,111,119,95
error,4.3,106,110,73
error,4.3,103,107,70
error,4.3,102,109,78
error,4.3,104,108,71
error,4.3,104,112,75
error,4.3,103,112,83
error,4.3,103,107,74
error,4.4,102,111,90
error,4.4,92,104,80
error,4.4,95,105,80
error,4.4,98,107,80
error,4.4,101,113,91
error,4.4,107,116,89
error,4.4,103,116,90
error,4.4,96,109,83
error,4.4,94,105,75
error,4.4,99,109,85
error,4.4,90,98,74
error,4.4,104,116,92
error,4.4,104,116,96
error,4.4,100,106,80
error,4.4,90,100,76
error,4.4,92,100,76
error,4.4,92,102,77
error,4.4,96,106,82
error,4.5,97,109,85
error,4.5,99,111,89
error,4.5,92,100,76
error,4.5,95,100,78
error,4.5,104,112,88
error,4.5,101,112,96
error,4.5,107,111,84
error,4.5,97,107,82
error,4.5,104,114,89
error,4.5,100,109,88
error,4.5,103,116,90
error,4.5,92,98,70
error,4.5,100,109,80
error,4.5,100,104,77
error,4.5,110,122,100
error,4.5,105,113,89
error,4.5,105,114,83
error,4.5,99,109,85
error,4.5,96,103,70
error,4.5,98,109,79
error,4.6,101,114,96
error,4.6,86,98,76
error,4.6,93,106,89
error,4.6,100,112,92
error,4.6,101,112,95
error,4.6,92,101,82
error,4.6,86,91,71
error,4.6,99,109,85
error,4.6,89,92,71
error,4.6,94,103,82
error,4.6,98,111,93
error,4.6,94,108,85
error,4.6,97,108,92
error,4.6,100,113,95
error,4.6,96,104,80
error,4.6,93,107,90
error,4.6,88,97,76
error,4.6,93,103,79
error,4.6,94,106,86
error,4.6,90,99,78
error,4.7,90,95,75
error,4.7,93,102,83
error,4.7,94,105,88
error,4.7,99,112,94
error,4.7,95,105,81
error,4.7,94,103,82
error,4.7,88,92,77
error,4.7,100,105,83
error,4.7,96,108,88
error,4.7,86,89,70
error,4.7,91,94,73
error,4.7,96,108,88
error,4.7,90,98,74
error,4.7,94,106,84
error,4.7,99,111,91
error,4.7,95,103,82
error,4.7,82,87,67
error,4.7,89,97,76
error,4.7,97,105,82
error,4.7,96,99,78
danger,4.8,90,101,87
danger,4.8,95,104,87
danger,4.8,95,109,96
danger,4.8,95,106,92
danger,4.8,98,112,99
danger,4.8,90,99,82
danger,4.8,98,112,95
danger,4.8,96,104,89
danger,4.8,86,97,80
danger,4.8,95,102,86
danger,4.8,95,109,94
danger,4.8,90,101,85
danger,4.8,94,105,89
danger,4.8,96,105,86
danger,4.8,86,99,82
danger,4.8,86,98,84
danger,4.8,90,104,87
danger,4.8,81,90,73
danger,4.9,95,108,91
danger,4.9,90,101,87
danger,4.9,83,89,77
danger,4.9,83,96,79
danger,4.9,95,106,92
danger,4.9,90,98,83
danger,4.9,90,98,83
danger,4.9,93,105,93
danger,4.9,96,109,92
danger,4.9,92,105,87
danger,4.9,99,107,92
danger,4.9,89,98,81
danger,4.9,90,98,83
danger,4.9,84,89,69
danger,4.9,96,107,91
danger,4.9,97,111,98
danger,4.9,92,99,83
danger,4.9,93,102,85
danger,4.9,93,101,86
danger,5.0,94,103,98
danger,5.0,97,104,96
danger,5.0,94,100,98
danger,5.0,100,112,110
danger,5.0,95,102,95
danger,5.0,96,109,100
danger,5.0,94,106,96
danger,5.0,95,105,96
danger,5.0,84,87,78
danger,5.0,88,91,80
danger,5.0,85,97,85
danger,5.0,91,101,92
danger,5.0,88,98,89
danger,5.0,90,102,92
danger,5.0,94,104,95
danger,5.0,83,93,82
danger,5.0,95,108,99
danger,5.0,89,100,86
danger,5.0,82,92,83
danger,5.1,81,86,80
danger,5.1,90,100,92
danger,5.1,86,88,77
danger,5.1,88,99,91
danger,5.1,81,94,85
danger,5.1,85,95,84
danger,5.1,84,90,80
danger,5.1,86,96,88
danger,5.1,86,95,90
danger,5.1,88,99,91
danger,5.1,87,100,82
danger,5.1,86,92,82
danger,5.1,93,103,92
danger,5.1,89,91,80
danger,5.1,98,109,95
danger,5.1,98,108,97
danger,5.1,92,102,91
danger,5.1,92,103,89
danger,5.1,94,104,95
danger,5.1,91,99,86
danger,5.2,83,88,82
danger,5.2,80,79,75
danger,5.2,89,99,98
danger,5.2,90,99,96
danger,5.2,87,96,93
danger,5.2,89,100,96
danger,5.2,86,96,88
danger,5.2,85,96,90
danger,5.2,86,96,95
danger,5.2,81,80,76
danger,5.2,85,94,89
danger,5.2,78,88,79
danger,5.2,94,104,96
danger,5.2,84,87,80
danger,5.2,86,95,90
danger,5.2,79,90,84
danger,5.2,82,92,84
danger,5.2,84,95,87
danger,5.2,88,101,92
danger,5.2,84,90,86
danger,5.3,90,95,89
danger,5.3,82,88,84
danger,5.3,86,93,85
danger,5.3,84,91,84
danger,5.3,82,92,84
danger,5.3,88,94,90
danger,5.3,86,99,92
danger,5.3,83,89,85
danger,5.3,88,98,89
danger,5.3,82,92,84
danger,5.3,91,104,94
danger,5.3,79,84,87
danger,5.3,94,103,100
danger,5.3,86,86,84
danger,5.3,84,91,84
danger,5.3,101,110,105
danger,5.3,90,100,92
danger,5.3,93,104,98
danger,5.3,88,98,90
danger,5.3,95,100,94
danger,5.4,89,100,104
danger,5.4,85,89,92
danger,5.4,90,97,103
danger,5.4,84,85,89
danger,5.4,80,81,85
danger,5.4,88,93,97
danger,5.4,82,83,87
danger,5.4,83,84,86
danger,5.4,79,79,81
danger,5.4,90,98,100
danger,5.4,89,94,97
danger,5.4,83,89,89
danger,5.4,86,88,87
danger,5.4,83,89,89
danger,5.4,85,94,93
danger,5.4,86,92,90
danger,5.4,74,83,78
danger,5.4,82,91,88
danger,5.4,72,80,82
warning,5.5,77,82,86
warning,5.5,87,95,98
warning,5.5,89,94,98
warning,5.5,82,82,84
warning,5.5,73,66,73
warning,5.5,83,82,88
warning,5.5,77,81,82
warning,5.5,83,93,94
warning,5.5,79,78,83
warning,5.5,89,96,102
warning,5.5,89,94,98
warning,5.5,91,96,99
warning,5.5,76,80,81
warning,5.5,98,103,107
warning,5.5,89,97,100
warning,5.5,88,96,99
warning,5.5,81,82,84
warning,5.5,93,101,104
warning,5.5,88,93,96
warning,5.6,81,79,90
warning,5.6,83,87,96
warning,5.6,80,84,93
warning,5.6,82,87,93
warning,5.6,84,88,99
warning,5.6,81,83,95
warning,5.6,77,81,92
warning,5.6,80,87,97
warning,5.6,77,80,89
warning,5.6,89,94,98
warning,5.6,82,90,93
warning,5.6,89,89,99
warning,5.6,80,83,88
warning,5.6,85,88,95
warning,5.6,86,86,96
warning,5.6,76,79,86
warning,5.6,73,84,90
warning,5.6,77,82,86
warning,5.6,79,84,90
safe,5.7,82,84,96
safe,5.7,73,73,83
safe,5.7,70,64,76
safe,5.7,74,62,76
safe,5.7,80,78,89
safe,5.7,80,79,87
safe,5.7,79,79,91
safe,5.7,86,86,98
safe,5.7,82,81,89
safe,5.7,79,82,91
safe,5.7,78,81,90
safe,5.7,77,74,83
safe,5.7,87,87,99
safe,5.7,89,96,106
safe,5.7,86,93,101
safe,5.7,82,82,90
safe,5.7,83,89,101
safe,5.7,83,87,99
safe,5.7,71,71,81
safe,5.7,81,85,96
safe,5.8,85,86,106
safe,5.8,70,66,83
safe,5.8,84,85,103
safe,5.8,83,80,101
safe,5.8,73,68,88
safe,5.8,80,83,102
safe,5.8,78,75,94
safe,5.8,78,76,97
safe,5.8,73,71,92
safe,5.8,73,65,86
safe,5.8,83,82,96
safe,5.8,81,83,96
safe,5.8,80,78,92
safe,5.8,90,94,105
safe,5.8,83,87,98
safe,5.8,89,88,102
safe,5.8,75,75,87
safe,5.8,76,76,88
safe,5.8,75,81,93
safe,5.8,76,78,90
safe,5.9,78,75,92
safe,5.9,79,74,94
safe,5.9,82,82,94
safe,5.9,82,79,96
safe,5.9,84,81,98
safe,5.9,81,82,100
safe,5.9,85,84,102
safe,5.9,84,81,98
safe,5.9,82,78,95
safe,5.9,71,64,82
safe,5.9,84,83,101
safe,5.9,82,81,97
safe,5.9,77,82,102
safe,5.9,82,89,105
safe,5.9,75,71,88
safe,5.9,75,76,94
safe,5.9,75,71,88
safe,5.9,79,78,94
safe,5.9,76,75,91
safe,5.9,83,80,97
safe,6.0,77,73,100
safe,6.0,78,78,102
safe,6.0,88,89,117
safe,6.0,84,84,108
safe,6.0,80,74,100
safe,6.0,79,77,101
safe,6.0,68,59,86
safe,6.0,72,74,95
safe,6.0,77,70,101
safe,6.0,76,74,95
safe,6.0,73,70,91
safe,6.0,84,81,100
safe,6.0,80,71,92
safe,6.0,87,85,106
safe,6.0,78,73,96
safe,6.0,77,78,96
safe,6.0,75,78,97
safe,6.0,77,78,98
safe,6.0,73,74,95
safe,6.1,69,56,86
safe,6.1,75,69,97
safe,6.1,79,73,99
safe,6.1,72,68,93
safe,6.1,73,64,95
safe,6.1,78,68,95
safe,6.1,75,66,93
safe,6.1,77,76,107
safe,6.1,75,66,93
safe,6.1,70,55,84
safe,6.1,69,56,82
safe,6.1,73,67,93
safe,6.1,73,64,91
safe,6.1,69,61,85
safe,6.1,83,81,105
safe,6.1,85,81,106
safe,6.1,81,87,113
safe,6.1,81,81,109
safe,6.2,84,79,111
safe,6.2,73,68,100
safe,6.2,85,79,113
safe,6.2,82,75,106
safe,6.2,87,84,115
safe,6.2,81,78,109
safe,6.2,66,62,95
safe,6.2,75,76,104
safe,6.2,73,69,104
safe,6.2,75,70,102
safe,6.2,80,75,105
safe,6.2,74,68,96
safe,6.2,74,65,96
safe,6.2,68,63,93
safe,6.2,81,75,103
safe,6.2,73,68,98
safe,6.2,68,63,93
safe,6.2,75,69,97
safe,6.2,72,68,93
safe,6.2,70,65,95
error,6.3,72,61,95
error,6.3,74,63,97
error,6.3,68,58,93
error,6.3,68,51,87
error,6.3,82,75,108
error,6.3,83,73,107
error,6.3,74,63,97
error,6.3,64,46,84
error,6.3,69,57,95
error,6.3,73,66,100
error,6.3,78,77,111
error,6.3,73,68,100
error,6.3,76,69,103
error,6.3,77,71,105
error,6.3,70,64,98
error,6.3,74,66,103
error,6.3,78,72,106
error,6.3,76,72,105
error,6.3,76,69,103
error,6.4,80,76,111
error,6.4,69,63,97
error,6.4,80,72,113
error,6.4,73,67,105
error,6.4,79,68,108
error,6.4,70,66,103
error,6.4,72,65,106
error,6.4,72,66,102
error,6.4,70,62,101
error,6.4,74,64,99
error,6.4,68,61,95
error,6.4,76,73,104
error,6.4,87,86,117
error,6.4,70,60,95
error,6.4,74,68,104
error,6.4,72,71,105
error,6.4,72,67,99
error,6.4,71,65,101
